Section,Required object,Search terms used,Source,Exact category,Asset ID/path,Static/articulated,Visual quality,Collision quality,Required modification,Recommended action,Confidence
SAFETY EQUIPMENT,Bollard,"bollard, bollards",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
SAFETY EQUIPMENT,Warning sign,"warning sign, warning signs",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
SAFETY EQUIPMENT,Hygiene sign,"hygiene sign, hygiene signs",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
SAFETY EQUIPMENT,Exit sign,"exit sign, exit signs",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
SAFETY EQUIPMENT,Floor marking,"floor marking, floor markings",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
SAFETY EQUIPMENT,Non-slip mat,"non slip mat, non slip mats",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
SAFETY EQUIPMENT,PPE storage,"ppe storage, ppe storages",Artiverse,armoire,artiverse/armoire/3dfModel/ab16f4ce-dc13-4694-bb5b-288c850a12aa,Articulated SDF,Articulated armoire with functional doors or drawers,Publisher-bound collision (3–32 elems dataset-wide),Resize/material check,D — available only as articulated asset,High
EXTERIOR OBJECTS,Box truck,"box truck, box trucks",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
EXTERIOR OBJECTS,Delivery truck,"delivery truck, delivery trucks",No credible indexed match,-,-,Generate once; reuse static result,Distinctive factory equipment required,Generate CoACD after mesh,Scale/material validation + SDF conversion,H — generate with SAM 3D (shared model where aliases overlap),High
EXTERIOR OBJECTS,Loading ramp,"loading ramp, loading ramps",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
EXTERIOR OBJECTS,Dock canopy,"dock canopy, dock canopys",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
EXTERIOR OBJECTS,Exterior light,"exterior light, exterior lights",ObjectThor,wall_objects,a1585e9d534d42d78d12d56e71aa15ed,Static ObjectThor payload,A wall light with a wood base.,Visual payload only; SceneSmith CoACD/SDF conversion required,Resize/material check; convert to GLTF/SDF,C — collision mesh requires generation/repair,High
EXTERIOR OBJECTS,Concrete planter,"concrete planter, concrete planters",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
EXTERIOR OBJECTS,Shrub,"shrub, shrubs",None,-,-,-,Not audited as essential,N/A,Omit from minimum build,I — unnecessary for minimum factory,High
EXTERIOR OBJECTS,Flower bed,"flower bed, flower beds",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
EXTERIOR OBJECTS,Small tree,"small tree, small trees",None,-,-,-,Not audited as essential,N/A,Omit from minimum build,I — unnecessary for minimum factory,High
EXTERIOR OBJECTS,Grass,"grass, gras",None,-,-,-,Not audited as essential,N/A,Omit from minimum build,I — unnecessary for minimum factory,High
EXTERIOR OBJECTS,Bench,"bench, benchs",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
EXTERIOR OBJECTS,Wheel stop,"wheel stop, wheel stops",SceneSmith/Trimesh procedural,box/cylinder/plane composition,procedural,Static,Suitable for simple industrial form,Analytic or CoACD,Author dimensions/materials,F — assemble accurately from primitives,High
